"filename", "language", "Python", "Markdown", "NGINX Conf", "HTML", "pip requirements", "Shell Script", "JavaScript", "CSS", "comment", "blank", "total"
"d:\ProjectA\web\templates\camera-management.html", "HTML", 0, 0, 0, 563, 0, 0, 0, 0, 8, 82, 653
"d:\ProjectA\web\templates\edit-camera.html", "HTML", 0, 0, 0, 550, 0, 0, 0, 0, 4, 80, 634
"d:\ProjectA\web\templates\index.html", "HTML", 0, 0, 0, 254, 0, 0, 0, 0, 13, 9, 276
"d:\ProjectA\web\templates\login.html", "HTML", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 44
"d:\ProjectA\web\templates\monitor-detail.html", "HTML", 0, 0, 0, 110, 0, 0, 0, 0, 10, 6, 126
"d:\ProjectA\web\templates\profile.html", "HTML", 0, 0, 0, 102, 0, 0, 0, 0, 5, 10, 117
"d:\ProjectA\web\templates\register.html", "HTML", 0, 0, 0, 52, 0, 0, 0, 0, 0, 3, 55
"d:\ProjectA\文档\时间同步.md", "Markdown", 0, 177, 0, 0, 0, 0, 0, 0, 0, 51, 228
"d:\ProjectA\文档\调研物理世界计算机视觉攻击.md", "Markdown", 0, 60, 0, 0, 0, 0, 0, 0, 0, 66, 126
"Total", "-", 1526, 561, 85, 2340, 10, 16, 2905, 3074, 938, 2043, 13498
