Date : 2025-04-29 11:29:57
Directory : d:\ProjectA
Total : 70 files,  12927 codes, 1278 comments, 2551 blanks, all 16756 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\ProjectA\web\static\js\camera-management.js   | JavaScript       |        321 |         43 |         49 |        413 |
| d:\ProjectA\web\static\js\common.js              | JavaScript       |        285 |         63 |         48 |        396 |
| d:\ProjectA\web\static\js\flv.min.js             | JavaScript       |          2 |          8 |          0 |         10 |
| d:\ProjectA\web\static\js\login.js               | JavaScript       |         42 |          7 |          9 |         58 |
| d:\ProjectA\web\static\js\monitor-detail.js      | JavaScript       |        236 |         57 |         69 |        362 |
| d:\ProjectA\web\static\js\person_trajectory.js   | JavaScript       |        538 |        112 |        110 |        760 |
| d:\ProjectA\web\static\js\profile.js             | JavaScript       |        338 |         35 |         56 |        429 |
| d:\ProjectA\web\static\js\register.js            | JavaScript       |         53 |          7 |         11 |         71 |
| d:\ProjectA\web\static\js\situation.js           | JavaScript       |        555 |         84 |        109 |        748 |
| d:\ProjectA\web\static\js\video-flv.js           | JavaScript       |        462 |        194 |        118 |        774 |
| d:\ProjectA\web\templates\README.md              | Markdown         |        149 |          0 |         63 |        212 |
| d:\ProjectA\web\templates\add-camera.html        | HTML             |        193 |          5 |         22 |        220 |
| d:\ProjectA\web\templates\analysis.html          | HTML             |        117 |          5 |         10 |        132 |
| d:\ProjectA\web\templates\camera-management.html | HTML             |        567 |          8 |         82 |        657 |
| d:\ProjectA\web\templates\edit-camera.html       | HTML             |        554 |          4 |         80 |        638 |
| d:\ProjectA\web\templates\index.html             | HTML             |        254 |         13 |          9 |        276 |
| d:\ProjectA\web\templates\login.html             | HTML             |         44 |          0 |          0 |         44 |
| d:\ProjectA\web\templates\monitor-detail.html    | HTML             |        106 |         10 |          6 |        122 |
| d:\ProjectA\web\templates\person_trajectory.html | HTML             |        203 |         11 |         10 |        224 |
| d:\ProjectA\web\templates\profile.html           | HTML             |        103 |          5 |         10 |        118 |
| d:\ProjectA\web\templates\register.html          | HTML             |         52 |          0 |          3 |         55 |
| d:\ProjectA\文档\时间同步.md                           | Markdown         |        177 |          0 |         51 |        228 |
| d:\ProjectA\文档\调研物理世界计算机视觉攻击.md                  | Markdown         |         60 |          0 |         66 |        126 |
| Total                                            |                  |     12,927 |      1,278 |      2,551 |     16,756 |
+--------------------------------------------------+------------------+------------+------------+------------+------------+
